title,address,description,price,date,phone,image
3 bed flat for sale,"Betterton Street, Covent Garden, London WC2H","This stunning three bedroom duplex apartment, situated in Covent Garden and finished to the highest quality with exceptional furnishings and interior design, is available to rent though Prime London. The 1,734 sq ft / 161.06 sq m apartment is spread ...","£2,750,000",7th May 2020,+44 20 7768 1152 **,https://lid.zoocdn.com/354/255/d7cd485ed68210151bf4ceacbfb00afe792820c5.jpg
Studio for sale,"Chelsea Cloisters, Sloane Avenue, London SW3",Video available by enquiry A bright studio apartment situated on the first floor (with lift) of this popular portered building close to all the amenities of both South Kensington and Chelsea. This delightful studio flat is well-presented and comprises ...,"£399,950",7th May 2020,+44 20 8115 3480 **,https://lid.zoocdn.com/354/255/7352c3b367e50b2b4e9205bd7d39d188e836554c.jpg
4 bed detached house for sale,"Higher Green, Epsom KT17",Rarely available this unmodernised character family home located in a highly sought after location within the Wallace Fields area. The property sits well on a mature plot with ample space to either side to extend (STPP) offering much potential to ...,"£925,000",7th May 2020,+44 1372 434768 **,https://lid.zoocdn.com/354/255/fa3ccb80d3a71c8bdea55d62632d96a9f73df237.jpg
3 bed flat for sale,"Munster Road, London SW6","Summary For sale by online auction - Starting Bid 600,000. Terms and Conditions Apply We welcome to the market this 3 bedroom Maisonette. The property briefly comprises of Living Room, Kitchen, 3 Large bedrooms and 2 Bathrooms. The property benefits ...","£600,000",7th May 2020,+44 191 244 9567 **,https://lid.zoocdn.com/354/255/6eef72adbeaad3c8dc6cb51088939c60cd5afa0b.jpg
4 bed property for sale,"Brixton Hill, London SW2","We are pleased to bring to market this four double bedroom Victorian house with development potential, set back quietly from Brixton Hill behind a long sweeping front garden. Full Description We are pleased to bring to market this four double bedroom ...","£799,950",7th May 2020,+44 20 8128 1223 **,https://lid.zoocdn.com/354/255/e1287470dd738f61229282e460749232e3ea18d6.jpg
4 bed semi-detached house for sale,"Ashmore Grove, Welling DA16","A spacious and extended semi-detached house within one of Welling's most popular residential areas. Guide Price - £580,000 to £600,000. Comprising briefly of: Large front reception room, rear reception/dining room, extended kitchen/breakfast area, ...","£580,000",7th May 2020,+44 20 8033 2610 **,https://lid.zoocdn.com/354/255/02f542270c7b3aa395fdc604166811c5fcad3ed5.jpg
2 bed property for sale,"Southcroft Road, London SW17",*** virtual viewing available*** A particularly substantial and beautifully presented two bedroom maisonette with tall ceilings and large windows. This stylish property is very well laid out with a spacious living room and kitchen dinner. It has ...,"£525,000",7th May 2020,+44 20 8767 0522 **,https://lid.zoocdn.com/354/255/7c91d8345a2b9345d96c8cc5c349404423215d12.jpg
2 bed flat for sale,"Fern Court, Romford RM7","** GuidePrice**£275,000 to £290,000 Stands this two bedroom ground floor apartment that also benefits from ensuite to main bedroom.The property overlooksCottons Park and is close to the Brewery Shopping parade and 1/2 mile to Romford train station, to ...","£275,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/35d5de62f0e11e4bc84ace2de614ca17f46108b2.jpg
Studio for sale,"Frazer Close, Romford RM1","On offer is this studio deluxe. Located on the first floor and offering a separate bedroom area. The property is a short walk to Romford station and is ideal for investors and first time buyers, other benefits include a 165 year lease.","£175,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/6cb32fa806362e4ba2ff0154742f822400a7a613.jpg
2 bed flat for sale,"Market Link, Romford RM1","Get on the property ladder with this Stunning 25% Share of this shared ownership Apartment. Offering two bedrooms on the sixth floor, with extremely spacious open plan living accomodation to kitchen, balcony and Central Romford location. A must see ...","£65,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/aa4e71b79b40826edb94024d53358e33f7e8ed37.jpg
Studio for sale,"Frazer Close, Romford RM1","This second floor studio deluxe is now available.Offering a separate bedroom area and close to Romford station, Ideal for investors, also benefits from a 165 year lease.This would be a great investment opportunity.Call for more details.","£175,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/b24d8572835f6f9398aa50234fadab7b134f5401.jpg
3 bed semi-detached house for sale,"Upper Brentwood Road, Gidea Park, Romford RM2","This three bedroom, two reception room family home.Located on Upper Brentwood Road is in the RM2 Postcode close to Gidea park station.The property is No onward chain and offers massive scope for improvement","£500,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/093bf95dad0dc53c3f0202f7cec64aa9f14c4c6b.jpg
2 bed maisonette for sale,"Elvet Avenue, Gidea Park, Romford RM2","A lifestyle property, two Bedrooms, two Bathrooms, allocated Parking.Located close to Gidea Park Train Station (Crossrail), This Grade II listed two bedroom split level apartment in The Railstore, features exposed brickwork and Open plan living","£340,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/d97e55bea2a74a22ce325d9361d68d70fce92291.jpg
1 bed flat for sale,"Abbs Cross Gardens, Hornchurch RM12",This one bedroom retirement property located close to Hornchurch town centre is now available to view. Located on the first floor benefits include Gas Central heating one bedroom and large lounge. Over 60s can call communal parking available.,"£190,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/c36701b52c9ff4599c2c558c2aad7528b5a450f4.jpg
3 bed flat for sale,"Malt House Place, Romford RM1","A rare and stunning opportunity to purchase this Three bedroom Modern apartment. The property is located within the heart of Romford, and is in the ever popular Malthouse development and offers gated parking and secure entryphone.","£300,000",7th May 2020,+44 1708 573629 **,https://lid.zoocdn.com/354/255/5e49a051a2e5330d170077cb3fe1b4e1ac3d5ade.jpg
3 bed end terrace house for sale,"Pembroke Avenue, Pinner, Middlesex HA5","Flowing over three spacious levels, this well-presented townhouse is perfect for the modern family. The ground floor comprises a shower room, a reception room with access to the garden, and second reception room/guest bedroom. To (truncated)","£650,000",7th May 2020,+44 20 8128 5114 **,https://lid.zoocdn.com/354/255/be0d74fdc8078b4909d8eb1ab985096781723d68.jpg
2 bed flat for sale,"Treport Street, Wandsworth SW18",A beautifully presented Victorian purpose-built ground floor flat,"£499,000",7th May 2020,+44 20 3641 4092 **,https://lid.zoocdn.com/354/255/d52e5328515953454ac3350cfd324b2f75456b50.jpg
2 bed flat for sale,"Sambrook Court, Cockfosters Road, Hadley Wood, Hertfordshire EN4",** show home now open for private V.I.P. Appointments ** two bedroom penthouse apartment with views - Ideally located in the exclusive community of Hadley Wood backing directly onto Hadley Wood Golf Course. Sambrook Court is an exceptional modern ...,"£890,000",7th May 2020,+44 20 8033 9520 **,https://lid.zoocdn.com/354/255/fb8afde5f3e349854057b004d7d641ed7b401a2f.jpg
1 bed flat for sale,"Sambrook Court, Cockfosters Road, Hadley Wood, Hertfordshire EN4",** show home now open for private V.I.P. Appointments ** one bedroom penthouse apartment with views - Ideally located in the exclusive community of Hadley Wood backing directly onto Hadley Wood Golf Course. Sambrook Court is an exceptional modern ...,"£575,000",7th May 2020,+44 20 8033 9537 **,https://lid.zoocdn.com/354/255/fb8afde5f3e349854057b004d7d641ed7b401a2f.jpg
2 bed flat for sale,"Lampeter Square, London W6","This good sized maisonette is split over two floors offering plenty of space with two double bedrooms and a private balcony. A great investment opportunity with space for a small family to live in. Conveniently placed between Hammersmith, Fulham and ...","£425,000",7th May 2020,+44 20 8939 6061 **,https://lid.zoocdn.com/354/255/1d60f01dad716ab0183f48216f5f6bc01a9a68a1.jpg
3 bed flat for sale,"Pinchin Street, London E1","Book online today 24/7 at ** Guide Price £450,000 to £475,000 ** **video tour of property now available on request** Offered for sale is this well presented, Three Bedroom Flat set in the heart of London’s East End. The property boasts a wide hallway ...","£450,000",7th May 2020,+44 24 7511 8874 **,https://lid.zoocdn.com/354/255/d49b2745541514cd9debf03b2f9a24a7b617019f.jpg
2 bed flat for sale,"Tolworth Rise South, Surbiton KT5","Offered with no chain and conveniently located on the K1 bus route and only 0.4 miles from Malden Manor train station (Zone 4) offering links to London Waterloo in approximately 30 minutes is this spacious, two bedroom first floor flat. The property ...","£265,000",7th May 2020,+44 20 3641 4240 **,https://lid.zoocdn.com/354/255/5452abc325eb184a1b19dc64a5994fb2f7a3a844.jpg
2 bed flat for sale,"Outram Road, Addiscombe, Croydon CR0",Video tour available! Last two apartments remaining! Split level duplex apartment offering 780 sq. Ft. Of modern day living space on a popular residential road. Baroque Court is a small development located within the East Indian Estate conservation ...,"£420,000",7th May 2020,+44 20 3641 2317 **,https://lid.zoocdn.com/354/255/3b1823f653b4cc97b421ce8e50924e42011e2ca0.jpg
1 bed flat for sale,"Upper Tulse Hill, London SW2","Keating Estates are proud to offer to market this one double bedroom apartment tucked away quietly off Brixton Hill. Full Description This well-located, one double bedroom flat is full of natural light, a perfect neutral blank canvas, ready for ...","£290,000",7th May 2020,+44 20 3463 9590 **,https://lid.zoocdn.com/354/255/b69bfe9d0e4dbd125aa2c0309ab4c2bb6109b36b.jpg
4 bed property for sale,"Hook Rise North, Tolworth, Surbiton KT6","Beautiful four bedroom semi detached house that has been finished to a good standard throughout and benefiting from a fitted kitchen, extensive private garden and off street parking. The property is conveniently located close to local amenities in Tolwor","£540,000",7th May 2020,+44 20 8115 3917 **,https://lid.zoocdn.com/354/255/09a54255ed25015976c5c150e74d68a5dc1e9fc3.jpg
2 bed flat for sale,"Sambrook Court, Cockfosters Road, Hadley Wood, Hertfordshire EN4",** show home now open for private V.I.P. Appointments ** two bedroom garden apartment - Ideally located in the exclusive community of Hadley Wood backing directly onto Hadley Wood Golf Course. Sambrook Court is an exceptional modern development of ...,"£640,000",7th May 2020,+44 20 8033 9537 **,https://lid.zoocdn.com/354/255/36b3e393e873649e575905e6c73e06cb51a09507.jpg
2 bed flat for sale,"Lionel Road South, Kew Bridge TW8","Enjoy the comfort, luxury and convenience of modern living. This apartment is open plan and has outdoor space, so working from home is made easy. Verdo - Kew Bridge offers a variety of on-site amenities providing both style and comfort.","£605,000",7th May 2020,+44 20 8022 3244 **,https://lid.zoocdn.com/354/255/68c8c4e1c6e4b3b508e386121e9d0458d59e1264.jpg
2 bed flat for sale,"Lionel Road South, Kew Bridge TW8","Enjoy the comfort, luxury and convenience of modern living. This apartment is open plan and has outdoor space, so working from home is made easy. Verdo - Kew Bridge offers a variety of on-site amenities providing both style and comfort.","£610,000",7th May 2020,+44 20 8022 3244 **,https://lid.zoocdn.com/354/255/3270951bc3677700ecbd06b8ce9b09f6befed7a8.jpg
1 bed flat for sale,"Lionel Road South, Kew Bridge TW8","Welcome to Verdo, London's most exciting new neighbourhood. A collection of stunning brand new one, two and three-bedroom apartments. Verdo - Kew Bridge is part of an exciting regeneration and whole new neighbourhood, which is the new place to be.","£480,000",7th May 2020,+44 20 8022 3244 **,https://lid.zoocdn.com/354/255/3270951bc3677700ecbd06b8ce9b09f6befed7a8.jpg
2 bed flat for sale,"Inglis Way, Mill Hill East NW7","Enjoying a lifestyle every bit as impressive as this luxury penthouse. With spacious rooms throughout there is a study room making it easy to work from home. The Claves offers a concierge, residents' lounge and beautifully landscaped gardens.","£1,100,000",7th May 2020,+44 20 8022 3286 **,https://lid.zoocdn.com/354/255/e485430fc6d4bead4aa35e69b94ea7bc955ac711.jpg
1 bed flat for sale,"Inglis Way, Mill Hill East NW7","Where life is for living. This spacious apartment provides both comfort and luxury making it easy to work from home. The Claves offers lifestyle amenities, which includes a concierge, residents' lounge, and beautifully landscaped gardens.","£425,000",7th May 2020,+44 20 8022 3286 **,https://lid.zoocdn.com/354/255/dbf6dd8e527d43c427b28a9b41c55e0d31cb1e44.jpg
2 bed flat for sale,"Inglis Way, Mill Hill East NW7","Where life is for living. This spacious apartment provides both comfort and luxury making it easy to work from home. The Claves offers lifestyle amenities, which includes a concierge, residents' lounge, and beautifully landscaped gardens.","£765,000",7th May 2020,+44 20 8022 3286 **,https://lid.zoocdn.com/354/255/cb5b940c27287418a5222cf5bd00d12a66e7509c.jpg
2 bed flat for sale,"Abbott Road, Canning Town E14","When you're working from home, you don't need to go far to access on-site amenities. With a fully equipped gym, a residents' lounge and a 24-hour concierge service, Aberfeldy Village offers convenience right on your doorstep. Available on Help to Buy.","£545,000",7th May 2020,+44 20 8022 3273 **,https://lid.zoocdn.com/354/255/c1e0fd4b8baa94fa21f59631d7d1bb10aa1571f7.jpg
1 bed flat for sale,"Abbott Road, Canning Town E14","When you're working from home, you don't need to go far to access on-site amenities. With a fully equipped gym, a residents' lounge and a 24-hour concierge service, Aberfeldy Village offers convenience right on your doorstep.","£445,000",7th May 2020,+44 20 8022 3273 **,https://lid.zoocdn.com/354/255/c5b9e2207215b6289b20d9453d0648b4318d38da.jpg
1 bed flat for sale,"Abbott Road, Canning Town E14","When you're working from home, you don't need to go far to access on-site amenities. With a fully equipped gym, a residents' lounge and a 24-hour concierge service, Aberfeldy Village offers convenience right on your doorstep.","£415,000",7th May 2020,+44 20 8022 3273 **,https://lid.zoocdn.com/354/255/6c089063119b685c29781e57294ac1e442afd088.jpg
1 bed flat for sale,"Shortlands Close, Belvedere, Kent DA17","This property´s price is reduced for over 60s as a lifetime lease purchase under our Home for Life Plan. Discounts range from 8.5% to 59% depending on age, personal circumstances and property criteria. The price shown is based on our average discount.","£126,000",7th May 2020,+44 1903 906571 **,https://lid.zoocdn.com/354/255/4b1f1788b3aeabce08bc59e0dfc418fc07e2ff2f.jpg
2 bed flat for sale,"Finborough Road, London SW17","This property´s price is reduced for over 60s as a lifetime lease purchase under our Home for Life Plan. Discounts range from 8.5% to 59% depending on age, personal circumstances and property criteria. The price shown is based on our average discount.","£198,500",7th May 2020,+44 1903 906571 **,https://lid.zoocdn.com/354/255/5c3900bd06cec5b13278f169ee9ba4880613889b.jpg
4 bed semi-detached house for sale,"Winchelsea Avenue, Bexleyheath, Kent DA7",Be prepared to be amazed by the amount of space on offer. You can simply collect your belongings and move straight in as no work to be done here!,"£560,000",7th May 2020,+44 1322 352187 **,https://lid.zoocdn.com/354/255/1cc773a6720ea5afb8e5fd4a8aed560f3680636a.jpg
3 bed flat for sale,"Regents Drive, Woodford Green, Essex IG8","This beautifully presented first floor duplex apartment is being offered with no onward chain. Situated in the prestigious Repton Park development, this home has been competitively priced to sell. Early viewings are strongly advised to truly ...","£625,000",7th May 2020,+44 20 8166 7320 **,https://lid.zoocdn.com/354/255/499885fe5376ff3e37cd470f77cfcebd40fceb42.jpg
1 bed flat for sale,"Gloucester Place, London NW1",On the 4th floor of this impressive Art Deco style residential block with 24 hour uniformed porters and lifts to all floors we are favoured to offer as sole agents a 653 sq ft (60.67 sq m) 1 double bedroom apartment With a fully fitted modern kitchen ...,"£650,000",7th May 2020,+44 20 8115 7891 **,https://lid.zoocdn.com/354/255/6839251c1b7a7f755abe18f9a3db028bf36a99d9.jpg
1 bed flat for sale,"Dawsonne House, London City Island, Canary Wharf E14","Large one bedroom apartment in Dawsonne House, London City Island available now covering 590 sq ft with east facing views towards River Lea","£469,995",6th May 2020,+44 20 8022 5043 **,https://lid.zoocdn.com/354/255/f902ab094d2ae1dd829ceb736999c5c2e217c1f7.jpg
3 bed property for sale,"Longford Close, Hampton Hill, Hampton TW12","Situated in a popular residential area within easy reach of local buses, Sainsburys Superstore, A316/M3 and Hampton Hill High Street, Fulwell Station is approximately a mile away.","£625,000",6th May 2020,+44 20 3641 1496 **,https://lid.zoocdn.com/354/255/dddbc0dcaae377ffac1f6556f56a47d8f7d21531.jpg
2 bed flat for sale,"30 Casson Square, Southbank Place, York Road, London SE1",This spacious 16th floor apartment has floor to ceiling windows with River and City views and a good size west facing balcony.,"£2,525,000",6th May 2020,+44 20 8022 3382 **,https://lid.zoocdn.com/354/255/fa267a17b7d1e01cb41c38422f182c6a9d8810db.jpg
Studio for sale,"30 Casson Square, Southbank Place, York Road, London SE1","Set in one of London's most desirable riverside locations adjacent to Westminster and next to the London Eye, Southbank Place celebrates the rich history and heritage of its surroundings.","£705,000",6th May 2020,+44 20 8022 3382 **,https://lid.zoocdn.com/354/255/5b7ca1c715a9eb1157d1862c90b7a67872e95651.jpg
Parking/garage for sale,"Pinnacle Apartments, 11 Saffron Central Square, Croydon CR0","""Right to Park"" at Pinnacle Apartments, Croydon. This parking spot is perfect for anyone commuting into town who wants to be within less than a ten minute walk to East Croydon Station.","£30,000",6th May 2020,+44 20 3478 3478 **,https://lid.zoocdn.com/354/255/5104ee77b4675a04d244b3df369589943ca7bc52.jpg
3 bed flat for sale,"7 Meadowview Road, Lower Sydenham, London SE6","First Floor - Reception Room, Two Bedrooms, Kitchen, Bathroom/WC, Second Floor - Bedroom, Lease with approximately 17 years unexpired. A section 42 notice will be assigned to the purchaser on completion, Virtual Tour available below, Private Garden to ...","£80,000",6th May 2020,+44 20 3641 1750 **,https://lid.zoocdn.com/354/255/6904b1d576e0ac3960a481205be0720017b00486.jpg
1 bed flat for sale,"Compass House, Pynnacles Close, Stanmore HA7","Help to buy available. This Second Floor 1-Bedroom apartment will make a lovely starter home. Benefitting from being close to everything Stanmore has to offer, the apartment has a contemporary feel to include an integrated Kitchen, fully (truncated)","£350,000",6th May 2020,+44 20 8128 4500 **,https://lid.zoocdn.com/354/255/609f41984a9f744231cde5aa52b505cf96d672db.jpg
1 bed flat for sale,"Campden Road, South Croydon CR2",The fantastic accommodation comprises a bright reception room with a modern gloss finish fitted kitchen with integrated appliances with french doors leading to a private patio garden,"£320,000",6th May 2020,+44 20 3478 3479 **,https://lid.zoocdn.com/354/255/13d09030178f044daa20f0fdf95c82d1126e8dd8.jpg
4 bed terraced house for sale,"Ponsonby Terrace, Westminster, London SW1P",A fantastic four bedroom family town house situated on a highly sought after residential street in Westminster. This contemporary designed bright house has been tastefully renovated and offers two areas of outside space. Freehold,"£2,250,000",6th May 2020,+44 20 8115 2532 **,https://lid.zoocdn.com/354/255/abf7bdfdc4437d26a6a9f1a4011fcdbb0359aeb1.jpg
2 bed flat for sale,"The Place, 109 Station Road, New Southgate, London N11","40% london help to buy available (subject to terms and conditions) show home now available to view Plot 13, a well designed 689 sq ft two bedroom apartment located on the second floor. Internally the apartment will comprise of a large open-plan ...","£415,000",6th May 2020,+44 20 8022 7519 **,https://lid.zoocdn.com/354/255/1e97c8c35720749a00458345d706f5a874e08a78.jpg
